,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
88,BBC,Sun Mar 04 20:11:35 +0000 2018,RT @BBCNewsbeat: Miss Piggy has some strong feelings about this year's #Oscars selection 🙈😂 https://t.co/vzHGz8PtmD,0.4019,0.184,0.089,0.726,12
89,BBC,Sun Mar 04 19:00:05 +0000 2018,Sloths have survived for more than 60 million years - what makes them so successful?  https://t.co/H4BAA5kAOL,0.8468,0.386,0.0,0.614,11
90,BBC,Sun Mar 04 18:59:39 +0000 2018,RT @BBCWorld: Watch this baby chimp being flown to a new home in DR Congo after it was rescued from poachers 🐒❤️ https://t.co/mZfGI8h6Gc,0.4215,0.118,0.0,0.882,10
91,BBC,Sun Mar 04 18:00:09 +0000 2018,"🎬🏆 So you've got the critical acclaim, you've got the industry buzz, you might even have a Golden Globe in your dow… https://t.co/WdGFOHrFMZ",-0.3182,0.0,0.099,0.901,9
92,BBC,Sun Mar 04 16:57:46 +0000 2018,"RT @BBCWorld: What can we expect from the 90th Academy Awards? A lot has changed since last year. 

Here are eight reasons why the 2018 #Os…",0.4588,0.111,0.0,0.889,8
93,BBC,Sun Mar 04 16:30:12 +0000 2018,"❤️ After her double mastectomy, this woman found a unique way of learning to love her new breasts.
👉… https://t.co/KAxQxkQEow",0.6369,0.189,0.0,0.811,7
94,BBC,Sun Mar 04 15:30:29 +0000 2018,"He was almost a professional footballer! 😮

11 surprising things we learned from Matt Smith's Desert Island Discs:… https://t.co/TMfwinexEB",0.3382,0.13,0.0,0.87,6
95,BBC,Sun Mar 04 15:00:06 +0000 2018,🍫 Meet the teenage chocolatier joining the ranks of Scotland's growing chocolate sector. https://t.co/FeIVc3FeZC,0.1779,0.124,0.0,0.876,5
96,BBC,Sun Mar 04 14:03:03 +0000 2018,"Two landscape artists begin a romance whilst working at Versailles. ❤️️🌷🎬

A Little Chaos | @BBCiPlayer |… https://t.co/szKKosJ2K2",0.0498,0.18,0.17,0.65,4
97,BBC,Sun Mar 04 13:46:48 +0000 2018,"RT @BBCSportWales: Can't get enough of this.

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Carlos…",0.802,0.298,0.0,0.702,3
98,BBC,Sun Mar 04 13:30:06 +0000 2018,"🍿🎞 From #IsleOfDogs to #TombRaider, here are 9 films worth heading to the movies for in March. 
👉… https://t.co/y1xGGocMuA",0.2263,0.101,0.0,0.899,2
99,BBC,Sun Mar 04 12:57:19 +0000 2018,"RT @BBCWomansHour: 👀🎥 @LadyBirdMovie's up for FIVE #Oscars this weekend 🙌 @Saoirse_Ronan talks to us about the film's appeal, her real-life…",0.0,0.0,0.0,1.0,1
100,CBS,Wed Mar 07 18:39:10 +0000 2018,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",-0.2023,0.15,0.23,0.619,100
101,CBS,Wed Mar 07 17:06:02 +0000 2018,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",0.0,0.0,0.0,1.0,99
102,CBS,Tue Mar 06 18:10:59 +0000 2018,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",0.6705,0.244,0.0,0.756,98
103,CBS,Mon Mar 05 22:16:43 +0000 2018,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",0.3818,0.167,0.0,0.833,97
